Zone,Branch Name,BCCL executive name,City/Location,Name of hospitals,Hoispital Address,No. of rooms,Publication (TOI/ET/NBT/MT/MM),PO,Mode of Distribution (Direct BCCL / Indirect Vendor),"Billing Route 
(Direct by BCCL / via Dealer or Vendor)","Billing Price Category 
(Full / Discounted / Free)",Print-run,"Full cover price
(Rs)",Days of delivery,Billing Price per Copy (Rs),Dealer Commission (per copy in Rs),Vendor Commission (per copy in Rs),BCCL off role manpower Salary (Other Expenses),"Extra Handling Charges
(Rs) per month",Distribution Trail: Step 1 (Drop Point Details),Distribution Trail: Step 2 (Intermediate/Transit),Distribution Trail: Step 3 (placement in the stand/room),Timing: From First Drop Point,Final timing (placement in the stand),Personnel Responsible (Dealer/Vendor/BCCL Off-role),Proof of Delivery (Photos/WhatsApp/Signatures),"Frequency
(proof of delivery)",Remarks / Audit Notes
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,ADITYA ASHWINI,Bhubaneswar,15,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,IGKC Multispeciality Hospital,Bhubaneswar,60,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,Truscan Dignostic,Bhubaneswar,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,Spandan Diagnostic Center,Bhubaneswar,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,Recliff Lab,Bhubaneswar,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,Vimta Lab,Bhubaneswar,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,Prolife Dignostic,Bhubaneswar,0,TOI,7,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,Prolife Dignostic,Bhubaneswar,0,ET,2,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,5.00,Mon-Sun,5.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,Svasthya Laboratories,Bhubaneswar,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,Shri Medscan Imaging Center,Bhubaneswar,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,Genex Diagnostic,Bhubaneswar,0,TOI,2,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,Shree Diagnostics & Healthcare,Bhubaneswar,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,Astha Diagnostic & Reserch Center,Bhubaneswar,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,Aspaire Hospital,Bhubaneswar,10,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,pradeep nayak,Bhubaneswar,"Agilus dagnostic, Kalinga Nagar",Bhubaneswar,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Ashwini,Cuttack,70,TOI,5,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Ashwini,Cuttack,70,ET,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,5.00,Mon-Sun,5.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Shanti,Cuttack,60,TOI,2,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Shanti,Cuttack,60,ET,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,5.00,Mon-Sun,5.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Bhubaneswar,Utkal Hospital,Bhubaneswar,150,TOI,30,Indirect by Vendor,Direct by BCCL,Discounted price,Bhubaneswar City ,6.00,Mon-Sun,3.50,0.24,1.80,0,500,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Bhubaneswar,Utkal Hospital,Bhubaneswar,150,ET,10,Indirect by Vendor,Direct by BCCL,Discounted price,Bhubaneswar City ,5.00,Mon-Sun,3.50,0.24,1.80,0,500,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,HCG PANDA CANCER HOSPITAL,Cuttack,80,TOI,2,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Dr Agarwal Hospital,Cuttack,15,TOI,2,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Sarangi clinic & Research centre private ltd,Cuttack,25,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Twincity Hospital,Cuttack,22,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Popular Nurshing home,Cuttack,10,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Newborn & Pafiatric Health care,Cuttack,18,TOI,3,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Sun Hospital PVT LTD,Cuttack,12,TOI,2,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Sun Hospital PVT LTD,Cuttack,12,ET,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,5.00,Mon-Sun,5.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Srusti Hospital,Cuttack,25,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Srusti Hospital,Cuttack,25,ET,2,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,5.00,Mon-Sun,5.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Cuttack Lapraroscopic Hospital,Cuttack,10,TOI,3,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Cuttack Lapraroscopic Hospital,Cuttack,10,ET,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,5.00,Mon-Sun,5.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,JM Care Hospital,Cuttack,12,TOI,2,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,JM Care Hospital,Cuttack,12,ET,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,5.00,Mon-Sun,5.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Sakti Hospital,Cuttack,22,TOI,2,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Moon Hospital,Cuttack,20,TOI,2,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,SADGURU HOSPITAL,Cuttack,100,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,SADGURU HOSPITAL,Cuttack,100,ET,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,5.00,Mon-Sun,5.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Sabarmati Hospital,Cuttack,70,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Curewell diognostic center,Cuttack,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,PMG scan and research Cetre,Cuttack,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Add  Annex health care pvt .ltd,Cuttack,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Beam Diagnostics Pvt ltd,Cuttack,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Pradyumna Biswal,Cuttack,Beam Diagnostics Pvt ltd,Cuttack,0,ET,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,5.00,Mon-Sun,5.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Badal Karmakar,Bhubaneswar,Hi Tech,Bhubaneswar,20,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Badal Karmakar,Bhubaneswar,Blue Wheel,Bhubaneswar,20,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Badal Karmakar,Bhubaneswar,Sunshine,Bhubaneswar,11,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Badal Karmakar,Bhubaneswar,Sparsh,Bhubaneswar,5,TOI,2,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Badal Karmakar,Bhubaneswar,Apollo diagonostic Centre,Bhubaneswar,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Badal Karmakar,Bhubaneswar,Agilus Diaganostic Centre,Bhubaneswar,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Badal Karmakar,Bhubaneswar,Bhumika eye hospital,Bhubaneswar,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Badal Karmakar,Bhubaneswar,Zenith Care  N Cure,Bhubaneswar,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Badal Karmakar,Bhubaneswar,Capital Care & Cure,Bhubaneswar,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Badal Karmakar,Bhubaneswar,Odisha Health Care,Bhubaneswar,0,TOI,1,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
East,Bhubaneshwar,Badal Karmakar,Bhubaneswar,Apollo Hospital Rourkela,Bhubaneswar,25,TOI,3,Indirect by Vendor,Indirect by Dealar or Vendor,Full price,Bhubaneswar City ,6.00,Mon-Sun,6.00,0.24,1.80,0,0,Drop at dealer point,Delivery through Vendor,Placement in stand/room by staff,00:00,07:12,Vendor,Signature ,Weekly,
